Source,source name,source type,mapping type,Target,target name,target type,mapping description
M1036,Account Use Policies,mitigation,mitigates,T1110,Brute Force,technique,"Set account lockout policies after a certain number of failed login attempts to prevent passwords from being guessed. Too strict a policy may create a denial of service condition and render environments un-usable, with all accounts used in the brute force being locked-out."
M1036,Account Use Policies,mitigation,mitigates,T1110.004,Credential Stuffing,technique,"Set account lockout policies after a certain number of failed login attempts to prevent passwords from being guessed. Too strict a policy may create a denial of service condition and render environments un-usable, with all accounts used in the brute force being locked-out."
M1036,Account Use Policies,mitigation,mitigates,T1621,Multi-Factor Authentication Request Generation,technique,"Enable account restrictions to prevent login attempts, and the subsequent 2FA/MFA service requests, from being initiated from suspicious locations or when the source of the login attempts do not match the location of the 2FA/MFA smart device."
M1036,Account Use Policies,mitigation,mitigates,T1110.001,Password Guessing,technique,"Set account lockout policies after a certain number of failed login attempts to prevent passwords from being guessed. Too strict a policy may create a denial of service condition and render environments un-usable, with all accounts used in the brute force being locked-out."
M1036,Account Use Policies,mitigation,mitigates,T1110.003,Password Spraying,technique,"Set account lockout policies after a certain number of failed login attempts to prevent passwords from being guessed. Too strict a policy may create a denial of service condition and render environments un-usable, with all accounts used in the brute force being locked-out."
M1015,Active Directory Configuration,mitigation,mitigates,T1003.005,Cached Domain Credentials,technique,"Consider adding users to the ""Protected Users"" Active Directory security group. This can help limit the caching of users' plaintext credentials.(Citation: Microsoft Protected Users Security Group)"
M1015,Active Directory Configuration,mitigation,mitigates,T1003.006,DCSync,technique,"Manage the access control list for ""Replicating Directory Changes"" and other permissions associated with domain controller replication.(Citation: ADSecurity Mimikatz DCSync)(Citation: Microsoft Replication ACL)"
M1015,Active Directory Configuration,mitigation,mitigates,T1558.001,Golden Ticket,technique,"For containing the impact of a previously generated golden ticket, reset the built-in KRBTGT account password twice, which will invalidate any existing golden tickets that have been created with the KRBTGT hash and other Kerberos tickets derived from it. For each domain, change the KRBTGT account password once, force replication, and then change the password a second time. Consider rotating the KRBTGT account password every 180 days.(Citation: STIG krbtgt reset)"
M1015,Active Directory Configuration,mitigation,mitigates,T1552.006,Group Policy Preferences,technique,Remove vulnerable Group Policy Preferences.(Citation: Microsoft MS14-025)
M1015,Active Directory Configuration,mitigation,mitigates,T1003,OS Credential Dumping,technique,"
Manage the access control list for “Replicating Directory Changes” and other permissions associated with domain controller replication. (Citation: AdSecurity DCSync Sept 2015) (Citation: Microsoft Replication ACL) Consider adding users to the ""Protected Users"" Active Directory security group. This can help limit the caching of users' plaintext credentials.(Citation: Microsoft Protected Users Security Group)"
M1015,Active Directory Configuration,mitigation,mitigates,T1550.003,Pass the Ticket,technique,"To contain the impact of a previously generated golden ticket, reset the built-in KRBTGT account password twice, which will invalidate any existing golden tickets that have been created with the KRBTGT hash and other Kerberos tickets derived from it.(Citation: ADSecurity Kerberos and KRBTGT) For each domain, change the KRBTGT account password once, force replication, and then change the password a second time. Consider rotating the KRBTGT account password every 180 days.(Citation: STIG krbtgt reset)"
M1015,Active Directory Configuration,mitigation,mitigates,T1606.002,SAML Tokens,technique,"For containing the impact of a previously forged SAML token, rotate the token-signing AD FS certificate in rapid succession twice, which will invalidate any tokens generated using the previous certificate.(Citation: Mandiant Defend UNC2452 White Paper)"
M1015,Active Directory Configuration,mitigation,mitigates,T1134.005,SID-History Injection,technique,"Clean up SID-History attributes after legitimate account migration is complete.

Consider applying SID Filtering to interforest trusts, such as forest trusts and external trusts, to exclude SID-History from requests to access domain resources. SID Filtering ensures that any authentication requests over a trust only contain SIDs of security principals from the trusted domain (i.e preventing the trusted domain from claiming a user has membership in groups outside of the domain).

SID Filtering of forest trusts is enabled by default, but may have been disabled in some cases to allow a child domain to transitively access forest trusts. SID Filtering of external trusts is automatically enabled on all created external trusts using Server 2003 or later domain controllers. (Citation: Microsoft Trust Considerations Nov 2014) (Citation: Microsoft SID Filtering Quarantining Jan 2009) However note that SID Filtering is not automatically applied to legacy trusts or may have been deliberately disabled to allow inter-domain access to resources.

SID Filtering can be applied by: (Citation: Microsoft Netdom Trust Sept 2012)

* Disabling SIDHistory on forest trusts using the netdom tool (<code>netdom trust /domain: /EnableSIDHistory:no</code> on the domain controller)

* Applying SID Filter Quarantining to external trusts using the netdom tool (<code>netdom trust <TrustingDomainName> /domain:<TrustedDomainName> /quarantine:yes</code> on the domain controller)

* Applying SID Filtering to domain trusts within a single forest is not recommended as it is an unsupported configuration and can cause breaking changes. (Citation: Microsoft Netdom Trust Sept 2012) (Citation: AdSecurity Kerberos GT Aug 2015) If a domain within a forest is untrustworthy then it should not be a member of the forest. In this situation it is necessary to first split the trusted and untrusted domains into separate forests where SID Filtering can be applied to an interforest trust"
M1015,Active Directory Configuration,mitigation,mitigates,T1072,Software Deployment Tools,technique,Ensure proper system and access isolation for critical network systems through use of group policy.
M1015,Active Directory Configuration,mitigation,mitigates,T1558,Steal or Forge Kerberos Tickets,technique,"For containing the impact of a previously generated golden ticket, reset the built-in KRBTGT account password twice, which will invalidate any existing golden tickets that have been created with the KRBTGT hash and other Kerberos tickets derived from it. For each domain, change the KRBTGT account password once, force replication, and then change the password a second time. Consider rotating the KRBTGT account password every 180 days.(Citation: STIG krbtgt reset)"
M1015,Active Directory Configuration,mitigation,mitigates,T1552,Unsecured Credentials,technique,Remove vulnerable Group Policy Preferences.(Citation: Microsoft MS14-025)
M1049,Antivirus/Antimalware,mitigation,mitigates,T1059,Command and Scripting Interpreter,technique,Anti-virus can be used to automatically quarantine suspicious files. 
M1049,Antivirus/Antimalware,mitigation,mitigates,T1547.006,Kernel Modules and Extensions,technique,"Common tools for detecting Linux rootkits include: rkhunter (Citation: SourceForge rkhunter), chrootkit (Citation: Chkrootkit Main), although rootkits may be designed to evade certain detection tools."
M1049,Antivirus/Antimalware,mitigation,mitigates,T1027,Obfuscated Files or Information,technique,Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted. (Citation: Microsoft AMSI June 2015)
M1049,Antivirus/Antimalware,mitigation,mitigates,T1566,Phishing,technique,Anti-virus can automatically quarantine suspicious files.
