Source,Target,Type,Id,Label,timeset,Weight,mmnt-edgetype
T1548.002,T1087,Undirected,2929,technique-technique,,1,technique<--->technique
T1548.002,T1087.004,Undirected,2930,technique-technique,,1,technique<--->technique
T1548.002,T1087.002,Undirected,2931,technique-technique,,3,technique<--->technique
T1548.002,T1087.001,Undirected,2932,technique-technique,,1,technique<--->technique
T1548.002,T1098.001,Undirected,2933,technique-technique,,1,technique<--->technique
T1548.002,T1098.003,Undirected,2934,technique-technique,,1,technique<--->technique
T1548.002,T1098.002,Undirected,2935,technique-technique,,1,technique<--->technique
T1548.002,T1098.005,Undirected,2936,technique-technique,,1,technique<--->technique
T1548.002,T1583.001,Undirected,2937,technique-technique,,1,technique<--->technique
T1548.002,T1583.006,Undirected,2938,technique-technique,,2,technique<--->technique
T1548.002,T1595.002,Undirected,2939,technique-technique,,1,technique<--->technique
T1548.002,T1071.004,Undirected,2940,technique-technique,,1,technique<--->technique
T1548.002,T1071.002,Undirected,2941,technique-technique,,1,technique<--->technique
T1548.002,T1071.001,Undirected,2942,technique-technique,,6,technique<--->technique
T1548.002,T1560,Undirected,2943,technique-technique,,2,technique<--->technique
T1548.002,T1560.002,Undirected,2944,technique-technique,,1,technique<--->technique
T1548.002,T1560.001,Undirected,2945,technique-technique,,3,technique<--->technique
T1548.002,T1123,Undirected,2946,technique-technique,,1,technique<--->technique
T1548.002,T1119,Undirected,2947,technique-technique,,2,technique<--->technique
T1548.002,T1020,Undirected,2948,technique-technique,,1,technique<--->technique
T1548.002,T1197,Undirected,2949,technique-technique,,1,technique<--->technique
T1548.002,T1547.001,Undirected,2950,technique-technique,,8,technique<--->technique
T1548.002,T1547.009,Undirected,2951,technique-technique,,1,technique<--->technique
T1548.002,T1037.001,Undirected,2952,technique-technique,,1,technique<--->technique
T1548.002,T1110.003,Undirected,2953,technique-technique,,1,technique<--->technique
T1548.002,T1059,Undirected,2954,technique-technique,,1,technique<--->technique
T1548.002,T1059.007,Undirected,2955,technique-technique,,3,technique<--->technique
T1548.002,T1059.001,Undirected,2956,technique-technique,,6,technique<--->technique
T1548.002,T1059.006,Undirected,2957,technique-technique,,4,technique<--->technique
T1548.002,T1059.005,Undirected,2958,technique-technique,,7,technique<--->technique
T1548.002,T1059.003,Undirected,2959,technique-technique,,8,technique<--->technique
T1548.002,T1586.002,Undirected,2960,technique-technique,,1,technique<--->technique
T1548.002,T1584.001,Undirected,2961,technique-technique,,1,technique<--->technique
T1548.002,T1136.003,Undirected,2962,technique-technique,,1,technique<--->technique
T1548.002,T1543.003,Undirected,2963,technique-technique,,3,technique<--->technique
T1548.002,T1555,Undirected,2964,technique-technique,,3,technique<--->technique
T1548.002,T1555.003,Undirected,2965,technique-technique,,4,technique<--->technique
T1548.002,T1555.005,Undirected,2966,technique-technique,,1,technique<--->technique
